entry,name,namespace,signature,body_min,body_max,body_num_addresses,is_external,is_thunk,calling_convention
"23a37a020","FUN_23a37a020","Global","undefined FUN_23a37a020(void)","23a37a020","23a37a0cb",161,false,false,"unknown"
"23a37a0d0","FUN_23a37a0d0","Global","undefined FUN_23a37a0d0(void)","23a37a0d0","23a37ad42",3063,false,false,"unknown"
"23a37ad50","FUN_23a37ad50","Global","undefined FUN_23a37ad50(void)","23a37ad50","23a37cbfc",7702,false,false,"unknown"
"23a37cc00","FUN_23a37cc00","Global","undefined FUN_23a37cc00(void)","23a37cc00","23a37f924",11432,false,false,"unknown"
"23a37f930","FUN_23a37f930","Global","undefined FUN_23a37f930(void)","23a37f930","23a37ff71",1550,false,false,"unknown"
"23a37ff80","FUN_23a37ff80","Global","undefined FUN_23a37ff80(void)","23a37ff80","23a380a70",2668,false,false,"unknown"
"23a380a80","FUN_23a380a80","Global","undefined FUN_23a380a80(void)","23a380a80","23a3813ed",2332,false,false,"unknown"
"23a3813f0","FUN_23a3813f0","Global","undefined FUN_23a3813f0(void)","23a3813f0","23a381cba",2172,false,false,"unknown"
"23a381cc0","FUN_23a381cc0","Global","undefined FUN_23a381cc0(void)","23a381cc0","23a383537",6091,false,false,"unknown"
"23a383540","FUN_23a383540","Global","undefined FUN_23a383540(void)","23a383540","23a384b3d",5396,false,false,"unknown"
"23a384b40","FUN_23a384b40","Global","undefined FUN_23a384b40(void)","23a384b40","23a3854b2",2323,false,false,"unknown"
"23a3854c0","FUN_23a3854c0","Global","undefined FUN_23a3854c0(void)","23a3854c0","23a385b13",1561,false,false,"unknown"
"23a385b20","FUN_23a385b20","Global","undefined FUN_23a385b20(void)","23a385b20","23a386173",1561,false,false,"unknown"
"23a386180","FUN_23a386180","Global","undefined FUN_23a386180(void)","23a386180","23a38694b",1925,false,false,"unknown"
"23a386950","FUN_23a386950","Global","undefined FUN_23a386950(void)","23a386950","23a38711b",1925,false,false,"unknown"
"23a387120","FUN_23a387120","Global","undefined FUN_23a387120(void)","23a387120","23a3880e9",3938,false,false,"unknown"
"23a3880f0","FUN_23a3880f0","Global","undefined FUN_23a3880f0(void)","23a3880f0","23a3881ee",244,false,false,"unknown"
"23a3881f0","FUN_23a3881f0","Global","undefined FUN_23a3881f0(void)","23a3881f0","23a388306",268,false,false,"unknown"
"23a388310","FUN_23a388310","Global","undefined FUN_23a388310(void)","23a388310","23a388445",286,false,false,"unknown"
"23a388450","FUN_23a388450","Global","undefined FUN_23a388450(void)","23a388450","23a388491",65,false,false,"unknown"
"23a3884a0","FUN_23a3884a0","Global","undefined FUN_23a3884a0(void)","23a3884a0","23a388647",406,false,false,"unknown"
"23a388650","FUN_23a388650","Global","undefined FUN_23a388650(void)","23a388650","23a3888f1",635,false,false,"unknown"
"23a388900","FUN_23a388900","Global","undefined FUN_23a388900(void)","23a388900","23a389c76",4869,false,false,"unknown"
